id	name	description	categories	primary_category	tier	homepage	homepage_status	repo_url	repo_status	repo_origin	repo_stars	repo_pushed	repo_archived	repo_language	repo_license	tool_type	topics	languages	license	license_source	maturity	cost	registries	citations	citation_note	year	publication	citations_total	citations_papers	publication_title	publication_venue	publication_url	citations_recent	citations_recent_year	publication_is_preprint	biotools_id	biotools_url	last_update	source	tags	featured
macs	MACS	Calls peaks from ChIP-seq data using a model-based approach	tfbs-prediction|peak-calling|grn-inference	tfbs-prediction	core	http://liulab.dfci.harvard.edu/MACS/		https://github.com/taoliu/MACS		recorded	781	2026-07-07	False	Python	BSD-3-Clause	Command-line tool	ChIP-seq|Molecular interactions, pathways and networks|Transcription factors and regulatory sites	Python	Artistic-2.0	declared	Mature		conda|pypi	20251		2008	pmid:18798982			Model-based Analysis of ChIP-Seq (MACS)	Genome biology	https://pubmed.ncbi.nlm.nih.gov/18798982/	2189	2025	False	macs	https://bio.tools/macs	2024-11-25	bio.tools		
homer	homer	Discovers sequence motifs in genomic DNA for regulatory element analysis	motif-discovery|motif-scanning|regulatory-elements	motif-discovery	core	http://homer.ucsd.edu/homer/motif/																		14799		2010	doi:10.1016/j.molcel.2010.05.004			Simple Combinations of Lineage-Determining Transcription Factors Prime cis-Regulatory Elements Required for Macrophage and B Cell Identities	Molecular Cell	https://doi.org/10.1016/j.molcel.2010.05.004	1550	2025	False	homer	https://bio.tools/homer	2021-02-02	bio.tools		Motif discovery plus peak annotation; the pragmatic first stop for ChIP-seq
weblogo	WebLogo	Generate sequence logos from aligned sequences via a web application	motif-scanning|motif-comparison	motif-scanning	core	http://weblogo.berkeley.edu/		https://github.com/gecrooks/weblogo		inferred						Command-line tool|Web application	Nucleic acid sites, features and motifs|Sequence analysis							13113		2004	pmid:15173120			WebLogo: A Sequence Logo Generator: Figure 1	Genome Research	https://pubmed.ncbi.nlm.nih.gov/15173120/	851	2025	False	weblogo	https://bio.tools/weblogo	2024-11-25	bio.tools		
meme_suite	MEME Suite	Discovers and analyses sequence motifs such as DNA binding sites and protein interaction domains	motif-discovery|motif-scanning|motif-comparison|tfbs-prediction|footprinting	motif-discovery	core	http://meme-suite.org/										Command-line tool|Web application|Suite	Transcription factors and regulatory sites|Gene expression|DNA binding sites|Protein folds and structural domains|Sequence sites, features and motifs							11588		1994	pmid:19458158	20363	7	MEME SUITE: tools for motif discovery and searching	Nucleic Acids Research	https://pubmed.ncbi.nlm.nih.gov/19458158/	911	2025	False	meme_suite	https://bio.tools/meme_suite	2019-02-04	bio.tools		
plantcare	PlantCARE	Database of plant cis-acting regulatory elements for in silico promoter analysis	regulatory-elements	regulatory-elements	core	http://bioinformatics.psb.ugent.be/webtools/plantcare/html/										Database portal	Transcriptomics|Plant biology							8504		1999	pmid:11752327	9252	2	PlantCARE, a database of plant cis-acting regulatory elements and a portal to tools for in silico analysis of promoter sequences	Nucleic Acids Research	https://pubmed.ncbi.nlm.nih.gov/11752327/	1144	2025	False	plantcare	https://bio.tools/plantcare	2024-11-24	bio.tools		
bismark	Bismark	Bismark is a tool to map bisulfite treated sequencing reads and perform methylation calling in a quick and easy-to-use fashion.	nucleosome-chromatin|dna-methylation	nucleosome-chromatin	core	https://github.com/FelixKrueger/Bismark		https://github.com/FelixKrueger/Bismark		recorded	455	2026-07-25	False	Rust	GPL-3.0	Suite	Epigenomics|Genomics|Epigenetics	Perl	GPL-3.0	declared	Mature		conda	5972		2011	pmid:21493656			Bismark: a flexible aligner and methylation caller for Bisulfite-Seq applications	Bioinformatics	https://pubmed.ncbi.nlm.nih.gov/21493656/	611	2025	False	bismark	https://bio.tools/bismark	2024-11-25	bio.tools		
great	GREAT	Predicts functions of cis-regulatory regions from genomic data	regulatory-elements	regulatory-elements	core	http://bejerano.stanford.edu/great/public/html/	dead									Web application	Functional, regulatory and non-coding RNA							5065		2010	pmid:20436461			GREAT improves functional interpretation of cis-regulatory regions	Nature Biotechnology	https://pubmed.ncbi.nlm.nih.gov/20436461/	384	2025	False	great	https://bio.tools/great	2024-11-25	bio.tools		
FIMO	FIMO	Find Individual Motif Occurrences - scans sequences for matches to known motifs with p-values	motif-scanning	motif-scanning	seed	https://meme-suite.org/meme/tools/fimo		https://github.com/cinquin/MEME		curated														4996		2011	doi:10.1093/bioinformatics/btr064			FIMO: scanning for occurrences of a given motif	Bioinformatics	https://doi.org/10.1093/bioinformatics/btr064	488	2025	False				curated	meme-suite	Standard scanner for known motifs with calibrated p-values
chipseeker	ChIPseeker	Annotates ChIP-seq peaks with nearest genes, genomic regions, and enrichment statistics	peak-calling|peak-annotation	peak-calling	extended	http://bioconductor.org/packages/release/bioc/html/ChIPseeker.html		https://github.com/YuLab-SMU/ChIPseeker		recorded	257	2026-04-29	False	R		Command-line tool|Library	ChIP-seq|Data visualisation|Data mining	R	Artistic-2.0	declared			bioconductor	4813		2015	pmid:25765347			ChIPseeker: an R/Bioconductor package for ChIP peak annotation, comparison and visualization	Bioinformatics	https://pubmed.ncbi.nlm.nih.gov/25765347/	772	2025	False	chipseeker	https://bio.tools/chipseeker	2019-01-11	bio.tools		
deeptools	DeepTools	Normalize and visualize deep-sequencing data with user-friendly tools	peak-annotation|nucleosome-chromatin	peak-annotation	core	https://deeptools.readthedocs.io/en/latest/		https://github.com/deeptools/deepTools		inferred						Suite	Genomics|ChIP-seq	Python	GPL-3.0	declared	Mature		conda|pypi	4248		2014	pmid:24799436			deepTools: a flexible platform for exploring deep-sequencing data	Nucleic Acids Research	https://pubmed.ncbi.nlm.nih.gov/24799436/	620	2025	False	deeptools	https://bio.tools/deeptools	2024-11-25	bio.tools		
DeepBind	DeepBind	Convolutional model of DNA- and RNA-binding protein sequence specificity; the first deep-learning TF binding predictor	tfbs-prediction	tfbs-prediction	seed	https://tools.genes.toronto.edu/deepbind/		https://github.com/jisraeli/DeepBind		curated														3202		2015	doi:10.1038/nbt.3300			Predicting the sequence specificities of DNA- and RNA-binding proteins by deep learning	Nature Biotechnology	https://doi.org/10.1038/nbt.3300	252	2025	False				curated	deep-learning	
RegulomeDB	RegulomeDB	Annotates variants with regulatory evidence from ChIP-seq, DNase, eQTL and motif data	chip-resources|regulatory-variants	chip-resources	seed	https://regulomedb.org/																		2878		2012	doi:10.1101/gr.137323.112			Annotation of functional variation in personal genomes using RegulomeDB	Genome Research	https://doi.org/10.1101/gr.137323.112	173	2025	False				curated		
